Material,Lay-up,"Vf, %",Resin Type,Resin,0 Deg fabric name,45 Deg fabric name,45 Deg fabric %,90 Deg fabric name,90 Deg fabric %,other %,"Thickness, mm",Cure / Post Cure,Process,Test #,Coupon,"Max. Stress, MPa","Min. Stress, MPa",R-value,"Freq., Hz or mm/s","E, GPa (0.1-0.3%)",Max. % Strain,Cycles,"Moisture Gain, %",Contractor report,Conference Paper
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5864,DD5P913W,-381.0,,,,,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5865,DD5P914W,-27.6,-276.0,10.0,2.0,,,1410.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5866,DD5P915W,-20.7,-207.0,10.0,2.0,,,37673.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5867,DD5P916W,-20.7,-207.0,10.0,5.0,,,44469.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5868,DD5P917W,-20.7,-207.0,10.0,5.0,,,54737.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5869,DD5P918W,-16.5,-165.0,10.0,8.0,,,190729.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5870,DD5P919W,-16.5,-165.0,10.0,10.0,,,342905.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5871,DD5P920W,-16.5,-165.0,10.0,10.0,,,141564.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5872,DD5P921,-34.5,-345.0,10.0,1.0,,,130.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5873,DD5P930,-20.7,-207.0,10.0,5.0,,,124290.0,,R4,C13
